type	name	value	zone	address	bytes	access	other
Factory	SPI3_I2SPR	0x0	Memory	0x40003c20	4	readWrite	strong	
Factory	SPI1_CR1	0x0	Memory	0x40013000	4	readWrite	strong	
Factory	SPI1_CR2	0x0	Memory	0x40013004	4	readWrite	strong	
Factory	SPI1_SR	0x0	Memory	0x40013008	4	readWrite	strong	
Factory	SPI1_DR	0x0	Memory	0x4001300c	4	readWrite	strong	
Factory	SPI1_CRCPR	0x0	Memory	0x40013010	4	readWrite	strong	
Factory	SPI1_RXCRCR	0x0	Memory	0x40013014	4	readOnly	strong	
Factory	SPI1_TXCRCR	0x0	Memory	0x40013018	4	readOnly	strong	
Factory	SPI1_I2SCFGR	0x0	Memory	0x4001301c	4	readWrite	strong	
Factory	SPI1_I2SPR	0x0	Memory	0x40013020	4	readWrite	strong	
Factory	EXTI_IMR1	0xbfa40000	Memory	0x40010400	4	readWrite	strong	
Factory	EXTI_EMR1	0x0	Memory	0x40010404	4	readWrite	strong	
Factory	EXTI_RTSR1	0x0	Memory	0x40010408	4	readWrite	strong	
Factory	EXTI_FTSR1	0x0	Memory	0x4001040c	4	readWrite	strong	
Factory	EXTI_SWIER1	0x0	Memory	0x40010410	4	readWrite	strong	
Factory	EXTI_PR1	0x0	Memory	0x40010414	4	readWrite	strong	
Factory	EXTI_IMR2	0x0	Memory	0x40010418	4	readWrite	strong	
Factory	EXTI_EMR2	0x0	Memory	0x4001041c	4	readWrite	strong	
Factory	EXTI_RTSR2	0x0	Memory	0x40010420	4	readWrite	strong	
Factory	EXTI_FTSR2	0x0	Memory	0x40010424	4	readWrite	strong	
Factory	EXTI_SWIER2	0x0	Memory	0x40010428	4	readWrite	strong	
Factory	EXTI_PR2	0x0	Memory	0x4001042c	4	readWrite	strong	
Factory	PWR_CR	0x0	Memory	0x40007000	4	readWrite	strong	
Factory	PWR_CSR	0x8	Memory	0x40007004	4	readWrite	strong	
Factory	I2C1_CR1	0x0	Memory	0x40005400	4	readWrite	strong	
Factory	I2C1_CR2	0x0	Memory	0x40005404	4	readWrite	strong	
Factory	I2C1_OAR1	0x0	Memory	0x40005408	4	readWrite	strong	
Factory	I2C1_OAR2	0x0	Memory	0x4000540c	4	readWrite	strong	
Factory	I2C1_TIMINGR	0x0	Memory	0x40005410	4	readWrite	strong	
Factory	I2C1_TIMEOUTR	0x0	Memory	0x40005414	4	readWrite	strong	
Factory	I2C1_ISR	0x1	Memory	0x40005418	4	readWrite	strong	
Factory	I2C1_ICR	0x0	Memory	0x4000541c	4	writeOnly	strong	
Factory	I2C1_PECR	0x0	Memory	0x40005420	4	readOnly	strong	
Factory	I2C1_RXDR	0x0	Memory	0x40005424	4	readOnly	strong	
Factory	I2C1_TXDR	0x0	Memory	0x40005428	4	readWrite	strong	
Factory	I2C2_CR1	0x0	Memory	0x40005800	4	readWrite	strong	
Factory	I2C2_CR2	0x0	Memory	0x40005804	4	readWrite	strong	
Factory	I2C2_OAR1	0x0	Memory	0x40005808	4	readWrite	strong	
Factory	I2C2_OAR2	0x0	Memory	0x4000580c	4	readWrite	strong	
Factory	I2C2_TIMINGR	0x0	Memory	0x40005810	4	readWrite	strong	
Factory	I2C2_TIMEOUTR	0x0	Memory	0x40005814	4	readWrite	strong	
Factory	I2C2_ISR	0x0	Memory	0x40005818	4	readWrite	strong	
Factory	I2C2_ICR	0x0	Memory	0x4000581c	4	writeOnly	strong	
Factory	I2C2_PECR	0x0	Memory	0x40005820	4	readOnly	strong	
Factory	I2C2_RXDR	0x0	Memory	0x40005824	4	readOnly	strong	
Factory	I2C2_TXDR	0x0	Memory	0x40005828	4	readWrite	strong	
Factory	I2C3_CR1	0x0	Memory	0x40007800	4	readWrite	strong	
Factory	I2C3_CR2	0x0	Memory	0x40007804	4	readWrite	strong	
Factory	I2C3_OAR1	0x0	Memory	0x40007808	4	readWrite	strong	
Factory	I2C3_OAR2	0x0	Memory	0x4000780c	4	readWrite	strong	
Factory	I2C3_TIMINGR	0x0	Memory	0x40007810	4	readWrite	strong	
